id,user_id,event_type,resource,resource_id,action,ip_address,created_at
2395f918-5c7a-45b2-9982-5b705ffe71d7,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,bdfb7c11-e283-4131-81c2-9cc4f0747ce6,execute,,2026-06-16T10:20:42.178797
f2323190-5297-4c18-92c1-3e1906053912,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,efd619c2-14ee-46c9-8673-727717504964,execute,,2026-06-16T10:20:42.926563
bf1c4933-ed45-44e1-9fd1-a315ba249d3f,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,209df392-9f56-413d-b5ae-3091f230953f,execute,,2026-06-16T10:20:43.599207
a8aa3f06-7827-43ea-8be6-8f35e0a3ae19,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,5a5b7aeb-5ea7-4984-88e3-8356f7f995d9,execute,,2026-06-16T10:20:44.172787
ceace20e-ad3f-43c2-9489-6655fa0188b4,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,8a59f656-758f-4729-9027-8b3d5f68490d,execute,,2026-06-16T10:20:44.761595
c93f15d9-0ad3-4748-bb0f-68a2523da695,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,a6c47490-4890-417c-9056-b0a48b70b4e4,execute,,2026-06-16T10:20:45.518040
fe136376-5ef4-4d1d-ac17-3245bb115cb4,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,454d2a86-1795-4a30-af98-4280a3f18c8f,execute,,2026-06-16T10:20:46.265460
19eb2925-2eb2-42b0-b4de-3fbe8503dde3,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,d505b72f-59c5-42b9-87f1-3850895b7248,execute,,2026-06-16T10:20:46.998535
0880d9ee-5376-4023-abe1-6658c483a9c0,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,dd8f5dd6-10cc-4b64-984f-b6701e8ab601,execute,,2026-06-16T10:20:47.643856
3d67fb80-eef5-479e-84d7-c45ab2673b93,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,541b6f69-8be1-418c-b361-7eb5420fb58b,execute,,2026-06-16T10:20:48.243165
4fc879af-0ecc-4866-b9b4-e73751b277c5,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,fb058e50-d9c6-4bcb-9dbd-8f83fd767a9d,execute,,2026-06-16T10:20:48.879797
b58fddfd-405b-4674-a91b-18aadd574fbd,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,27ffaac2-2f85-4d35-b3d2-9d47baac35ef,execute,,2026-06-16T10:20:49.722000
1caa7366-9bdc-47ea-8d78-c324d478db64,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,37113360-295d-4631-aa46-d661d936539b,execute,,2026-06-16T10:20:50.508571
803da6d2-c7fc-48b5-b654-9f55e806a12e,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,ef749d8a-0517-409c-b74f-092a2ec375c6,execute,,2026-06-16T10:20:51.340767
